"","Avg_Tumor","Avg_Normal","SD_Tumor","SD_Normal","p.val_Tumor_Normal"
"LIPJ",0.865879257266604,1.35913442881337,2.0684558466739,1.11320586383967,0.00477918251155654
"LIPK",0.228738802370196,0,1.14840271292532,0,7.99708023700249e-06
"LIPM",0.00682928812515391,0,0.0597446876634708,0,0.0098988161746547
"LIPN",0.208483839105337,0.158390754512097,0.452822277573894,0.375868397550189,0.346208738502831
"LIPT1",198.630814129145,226.069080146068,98.6650545310472,112.058608970648,0.0759056418208058
"LIPT2",33.8324125100789,46.9354001404145,21.7078054607577,26.8612888221715,0.000578868896086799
"LITAF",5170.19703105985,4550.5780197749,2156.45409965746,2278.76554919336,0.0506205731417665
"LIX1",273.167487072365,327.490953085124,753.694564933718,317.906056924525,0.307991116945841
"LIX1L",473.326320621029,557.989912040832,254.769189837009,249.640776392982,0.0162023225898559
"LLGL1",1002.24228606899,527.753437608061,592.918199151705,276.571314669325,1.69484417907339e-19
"LLGL2",1456.52938654145,983.169067595104,603.600060015655,472.377355633472,4.97561038299743e-10
"LLPH",559.2724748366,512.407386214457,236.380385426787,234.814324479439,0.151162592218044
"LMAN1",5374.03794337856,5247.62654114083,2771.67829605617,3048.32104553652,0.761741737007809
"LMAN1L",0.15138786450415,0.1847520943629,0.356229236915832,0.312485044650647,0.446659469587209
"LMAN2",5532.77038973849,4917.99758732282,2632.73861588583,2455.04257426196,0.0747172571324449
"LMAN2L",856.895100008048,1071.13215489466,512.541467479456,557.335644166629,0.00627009890400774
"LMBR1",1358.71841579978,1088.00580475247,748.053813612304,621.484073150051,0.00270354005906703
"LMBR1L",645.557562576315,367.838994402766,388.173923674384,160.126659272135,2.9850114217804e-19
"LMBRD1",3502.46751032243,2653.39167630934,1786.37220837886,1414.22709238971,5.91445452355665e-05
"LMBRD2",166.220721488135,234.479012689319,128.807318659745,146.944539846303,0.00105776328317132
"LMCD1",252.963568602359,221.320326135612,133.346510477347,85.5760354361298,0.0137380976645762
"LMF1",602.625788512631,489.784447849923,315.150886567754,230.671637881549,0.000997347395050025
"LMF2",1960.9184214933,2042.16116061854,802.878452018984,936.060538372055,0.524232289039207
"LMLN",315.783766119294,384.941180315899,167.888148747255,215.32436789598,0.0199413133241777
"LMNA",13122.6669819721,7918.89186068505,5865.35179383602,3840.20983670067,8.54483086088485e-15
"LMNB1",261.319545999881,187.595173895467,132.971653945624,164.197372181847,0.00143361649989201
"LMNB2",1115.22178468447,843.592440618504,448.441411975541,412.767506685145,9.87539807484481e-06
"LMO1",2.68059551300464,1.96142901203378,4.71614488735264,2.06365810830935,0.0361006688062146
"LMO2",454.795168091095,434.558968268803,284.293646979447,210.886687181932,0.504476513495843
"LMO3",8178.61871358947,2864.55059800754,5311.77510237504,1730.25640141055,5.870150634094e-40
"LMO4",1808.81969007196,1206.56330707442,850.159013767829,517.337508830238,6.2300705049828e-12
"LMO7",4235.73331631146,4276.63281724658,2235.23900477587,2494.37789932994,0.90443373870077
"LMOD1",678.254957993672,2792.39660508996,707.496120322218,1278.42090988512,1.37003245135712e-18
"LMOD2",5.83681507820714,5.13564398771637,93.0607026474953,33.0685261136193,0.906331355736718
"LMOD3",4.61611453843877,3.10574374962423,23.5946449671559,6.38242132525306,0.257925429392275
"LMTK2",388.108074288249,463.475508690929,277.859135790425,320.267439327058,0.0874082699123628
"LMTK3",310.467171068174,178.262597726232,173.013946188277,90.847113365206,7.22795146512826e-16
"LMX1A",0.857812880829947,3.46894202151969,1.56840384156511,3.45612409941798,3.26652069909618e-07
"LMX1B",17.255924900995,26.4084508428848,69.6025723197988,23.4135248491256,0.0356426105541807
"LNP1",165.773477718524,198.2874472281,117.48672392121,119.279597090632,0.0508745498939111
